 Year,Month,Producer Type,Fuel (D Code),FuelCategory,RINs,Volume
2010,7,Domestic,D4,Biodiesel (EV 1.5),"56,301,349","37,533,691"
2010,7,Importer,D4,Biodiesel (EV 1.5),"2,066,116","1,377,408"
2010,7,Domestic,D5,Renewable Heating Oil (EV 1.6),"663,032","414,393"
2010,7,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"471,290","277,228"
2010,7,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"347,397","347,397"
2010,7,Domestic,D5,Non-ester Renewable Diesel (EV 1.6),"60,420","37,764"
2010,7,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,114,587,380","1,114,587,380"
2010,7,Domestic,D6,Biodiesel (EV 1.5),"3,745,459","2,496,971"
2010,7,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"1,203,165","1,203,165"
2010,8,Domestic,D4,Biodiesel (EV 1.5),"43,250,641","28,833,177"
2010,8,Importer,D4,Biodiesel (EV 1.5),"3,473,253","2,315,495"
2010,8,Domestic,D5,Renewable Heating Oil (EV 1.6),"1,336,309","835,191"
2010,8,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"973,770","572,804"
2010,8,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"373,169","373,169"
2010,8,Domestic,D5,Non-ester Renewable Diesel (EV 1.6),"252,309","157,694"
2010,8,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,111,134,084","1,111,134,084"
2010,8,Domestic,D6,Biodiesel (EV 1.5),"5,294,161","3,529,440"
2010,8,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"443,599","443,599"
2010,9,Domestic,D4,Biodiesel (EV 1.5),"53,516,322","35,676,995"
2010,9,Importer,D4,Biodiesel (EV 1.5),"1,863,617","1,242,409"
2010,9,Domestic,D5,Renewable Heating Oil (EV 1.6),"1,226,281","766,425"
2010,9,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"808,771","475,747"
2010,9,Domestic,D5,Non-ester Renewable Diesel (EV 1.6),"796,780","497,989"
2010,9,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"320,813","320,813"
2010,9,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,101,994,951","1,101,994,951"
2010,9,Domestic,D6,Biodiesel (EV 1.5),"8,711,313","5,807,541"
2010,9,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"222,920","222,920"
2010,10,Domestic,D4,Biodiesel (EV 1.5),"55,175,596","36,783,265"
2010,10,Importer,D4,Biodiesel (EV 1.5),"5,398,629","3,599,083"
2010,10,Domestic,D5,Renewable Heating Oil (EV 1.6),"2,311,149","1,444,469"
2010,10,Domestic,D5,Non-ester Renewable Diesel (EV 1.6),"1,867,398","1,167,125"
2010,10,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"487,443","286,731"
2010,10,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"338,770","338,770"
2010,10,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,111,232,019","1,111,232,019"
2010,10,Domestic,D6,Biodiesel (EV 1.5),"226,107","150,737"
2010,10,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"164,225","164,225"
2010,11,Domestic,D4,Biodiesel (EV 1.5),"46,066,755","30,710,824"
2010,11,Importer,D4,Biodiesel (EV 1.5),"2,985,941","1,990,621"
2010,11,Domestic,D4,Non-ester Renewable Diesel (EV 1.7),"594,555","349,738"
2010,11,Domestic,D5,Renewable Heating Oil (EV 1.6),"3,430,279","2,143,924"
2010,11,Domestic,D5,Non-ester Renewable Diesel (EV 1.6),"2,307,174","1,441,986"
2010,11,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"910,657","910,657"
2010,11,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"751,489","442,052"
2010,11,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,138,095,958","1,138,095,958"
2010,11,Domestic,D6,Biodiesel (EV 1.5),"656,485","437,656"
2010,11,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"345,673","345,673"
2010,12,Domestic,D4,Biodiesel (EV 1.5),"48,627,279","32,417,898"
2010,12,Importer,D4,Biodiesel (EV 1.5),"2,943,750","1,962,490"
2010,12,Domestic,D4,Non-ester Renewable Diesel (EV 1.7),"627,882","369,343"
2010,12,Domestic,D4,Non-ester Renewable Diesel (EV 1.6),"384,763","240,476"
2010,12,Domestic,D5,Non-ester Renewable Diesel (EV 1.6),"2,996,022","1,872,516"
2010,12,Domestic,D5,Renewable Heating Oil (EV 1.6),"2,830,119","1,768,827"
2010,12,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"1,752,211","1,752,211"
2010,12,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"998,580","587,400"
2010,12,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,197,646,493","1,197,646,493"
2010,12,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"237,904","237,904"
2010,12,Domestic,D6,Biodiesel (EV 1.5),"145,953","97,302"
2011,1,Domestic,D4,Biodiesel (EV 1.5),"49,317,013","32,877,627"
2011,1,Importer,D4,Biodiesel (EV 1.5),"3,954,656","2,636,424"
2011,1,Domestic,D4,Non-ester Renewable Diesel (EV 1.7),"3,293,041","1,937,082"
2011,1,Domestic,D4,Non-ester Renewable Diesel (EV 1.6),"345,024","215,640"
2011,1,Domestic,D5,Non-ester Renewable Diesel (EV 1.6),"2,932,800","1,833,004"
2011,1,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"1,723,406","1,723,406"
2011,1,Domestic,D5,Renewable Heating Oil (EV 1.6),"784,262","490,163"
2011,1,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"751,620","442,129"
2011,1,Domestic,D6,Non-cellulosic Ethanol (EV 1.0),"1,160,289,818","1,160,289,818"
2011,1,Domestic,D6,Biodiesel (EV 1.5),"188,702","125,801"
2011,1,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"91,760","91,760"
2011,2,Domestic,D4,Biodiesel (EV 1.5),"62,304,416","41,535,834"
2011,2,Importer,D4,Biodiesel (EV 1.5),"2,004,085","1,336,045"
2011,2,Domestic,D4,Non-ester Renewable Diesel (EV 1.6),"378,648","236,655"
2011,2,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"1,503,587","1,503,587"
